Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0002349,Caddo Parish,22017,2020-09-04,hCoV-19/USA/LA-EVTL2132/2020,Caddo Parish,22017,2020-09-04,0
NODE_0002348,Caddo Parish,22017,2020-08-24,NODE_0002350,Caddo Parish,22017,2020-08-30,6
NODE_0002350,Caddo Parish,22017,2020-08-30,NODE_0002351,Caddo Parish,22017,2020-09-04,5
NODE_0002351,Caddo Parish,22017,2020-09-04,hCoV-19/USA/LA-EVTL2126/2020,Caddo Parish,22017,2020-09-04,0
NODE_0002351,Caddo Parish,22017,2020-09-04,hCoV-19/USA/LA-EVTL2125/2020,Caddo Parish,22017,2020-09-04,0
NODE_0002350,Caddo Parish,22017,2020-08-30,NODE_0002352,Caddo Parish,22017,2020-09-03,4
NODE_0002352,Caddo Parish,22017,2020-09-03,NODE_0002353,Caddo Parish,22017,2020-09-07,4
NODE_0002353,Caddo Parish,22017,2020-09-07,hCoV-19/USA/LA-EVTL2153/2020,Caddo Parish,22017,2020-09-07,0
NODE_0002353,Caddo Parish,22017,2020-09-07,hCoV-19/USA/LA-EVTL2184/2020,Caddo Parish,22017,2020-09-12,5
NODE_0002328,Caddo Parish,22017,2020-05-25,NODE_0002354,Caddo Parish,22017,2020-05-27,2
NODE_0002249,Caddo Parish,22017,2020-08-02,hCoV-19/USA/LA-EVTL940/2020,Caddo Parish,22017,2020-08-10,8
NODE_0002249,Caddo Parish,22017,2020-08-02,NODE_0002250,Caddo Parish,22017,2020-08-10,8
NODE_0002250,Caddo Parish,22017,2020-08-10,hCoV-19/USA/LA-EVTL985/2020,Caddo Parish,22017,2020-08-17,7
NODE_0002250,Caddo Parish,22017,2020-08-10,hCoV-19/USA/LA-EVTL1035/2020,Caddo Parish,22017,2020-08-24,14
NODE_0002250,Caddo Parish,22017,2020-08-10,hCoV-19/USA/LA-EVTL983/2020,Caddo Parish,22017,2020-08-17,7
NODE_0002250,Caddo Parish,22017,2020-08-10,NODE_0002357,Caddo Parish,22017,2020-08-14,4
NODE_0002357,Caddo Parish,22017,2020-08-14,NODE_0002358,Caddo Parish,22017,2020-08-18,4
NODE_0002358,Caddo Parish,22017,2020-08-18,NODE_0002359,Caddo Parish,22017,2020-08-19,1
NODE_0002359,Caddo Parish,22017,2020-08-19,NODE_0002360,Caddo Parish,22017,2020-08-23,4
NODE_0002360,Caddo Parish,22017,2020-08-23,hCoV-19/USA/LA-EVTL1047/2020,Caddo Parish,22017,2020-08-24,1
NODE_0002359,Caddo Parish,22017,2020-08-19,NODE_0002361,Caddo Parish,22017,2020-08-23,4
NODE_0002361,Caddo Parish,22017,2020-08-23,hCoV-19/USA/LA-EVTL1032/2020,Caddo Parish,22017,2020-08-24,1
NODE_0002357,Caddo Parish,22017,2020-08-14,NODE_0002362,Caddo Parish,22017,2020-08-18,4
NODE_0002362,Caddo Parish,22017,2020-08-18,NODE_0002363,Caddo Parish,22017,2020-08-24,6
NODE_0002363,Caddo Parish,22017,2020-08-24,hCoV-19/USA/LA-EVTL1042/2020,Caddo Parish,22017,2020-08-24,0
NODE_0002362,Caddo Parish,22017,2020-08-18,NODE_0002364,Caddo Parish,22017,2020-08-23,5
NODE_0002364,Caddo Parish,22017,2020-08-23,hCoV-19/USA/LA-EVTL1052/2020,Caddo Parish,22017,2020-08-27,4
NODE_0002364,Caddo Parish,22017,2020-08-23,NODE_0002251,Caddo Parish,22017,2020-09-01,9
NODE_0002252,Caddo Parish,22017,2020-11-13,NODE_0002253,Caddo Parish,22017,2020-11-24,11
NODE_0002253,Caddo Parish,22017,2020-11-24,hCoV-19/USA/LA-EVTL1292/2020,Caddo Parish,22017,2020-12-09,15
NODE_0002253,Caddo Parish,22017,2020-11-24,hCoV-19/USA/LA-EVTL1975/2020,Caddo Parish,22017,2020-11-24,0
NODE_0002251,Caddo Parish,22017,2020-09-01,NODE_0002254,Caddo Parish,22017,2020-09-10,9
NODE_0002254,Caddo Parish,22017,2020-09-10,hCoV-19/USA/LA-EVTL2246/2020,Caddo Parish,22017,2020-09-18,8
NODE_0002254,Caddo Parish,22017,2020-09-10,hCoV-19/USA/LA-EVTL2320/2020,Caddo Parish,22017,2020-09-24,14
NODE_0002254,Caddo Parish,22017,2020-09-10,NODE_0002261,Caddo Parish,22017,2020-09-24,14
NODE_0002261,Caddo Parish,22017,2020-09-24,hCoV-19/USA/LA-EVTL2316/2020,Caddo Parish,22017,2020-09-24,0
NODE_0002254,Caddo Parish,22017,2020-09-10,NODE_0002370,Caddo Parish,22017,2020-09-17,7
NODE_0002370,Caddo Parish,22017,2020-09-17,hCoV-19/USA/LA-EVTL2229/2020,Caddo Parish,22017,2020-09-17,0
NODE_0002370,Caddo Parish,22017,2020-09-17,NODE_0002371,Caddo Parish,22017,2020-09-24,7
NODE_0002371,Caddo Parish,22017,2020-09-24,hCoV-19/USA/LA-EVTL2314/2020,Caddo Parish,22017,2020-09-24,0
NODE_0002371,Caddo Parish,22017,2020-09-24,NODE_0002372,Caddo Parish,22017,2020-10-12,18
NODE_0002372,Caddo Parish,22017,2020-10-12,hCoV-19/USA/LA-EVTL1850/2020,Caddo Parish,22017,2020-10-19,7
NODE_0002372,Caddo Parish,22017,2020-10-12,NODE_0002373,Caddo Parish,22017,2020-10-24,12
NODE_0002373,Caddo Parish,22017,2020-10-24,hCoV-19/USA/LA-EVTL1877/2020,Caddo Parish,22017,2020-11-03,10
NODE_0002354,Caddo Parish,22017,2020-05-27,NODE_0002374,Caddo Parish,22017,2020-05-30,3
